<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+0,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+1,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+2,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+3,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+4,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+5,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+6,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+7,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+8,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+9,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+0,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+1,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+2,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+3,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+4,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+5,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+6,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+7,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+8,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+9,"NoWind,0.1,0.1,mean","NoWind,0.1,0.1,std","NoWind,0.1,0.1,min","NoWind,0.1,0.1,max","Windy,0.1,0.1,mean","Windy,0.1,0.1,std","Windy,0.1,0.1,min","Windy,0.1,0.1,max"
24080814700.0,124160213400.0,19021903900.0,124018044400.0,18686735000.0,124070487500.0,14629400500.0,123575362300.0,18015097200.0,124209125600.0,16207539100.0,124108101000.0,18432184600.0,123986116400.0,20781736300.0,123666251400.0,67608043800.0,175459241400.0,68087414900.0,175199885300.0,71.44671845,55.44931287987289,14.6294005,124.2091256,91.35365142,61.766425996934615,16.2075391,175.4592414
24095577200.0,123335564900.0,14450587700.0,117793583700.0,13811750400.0,117772034100.0,15158214100.0,117482212400.0,20090079600.0,117559893200.0,13890583200.0,117986996000.0,17846356500.0,117895128800.0,15477869200.0,117710668400.0,70650107000.0,171714639300.0,70999211500.0,171088437600.0,68.15494973,53.481286931217205,13.8117504,123.3355649,88.52599975,60.41336259257942,13.8905832,171.7146393
27355164700.0,116835340600.0,14186719300.0,117598927000.0,15414968300.0,117047974500.0,18002570100.0,117171860800.0,14354723200.0,117545902900.0,16832192900.0,117572144500.0,15660922100.0,117401985400.0,14459341200.0,116810399500.0,74040498400.0,174383186100.0,74029993300.0,173738824900.0,67.55141514,52.5059997135478,14.1867193,117.598927,89.49294883,60.969934117628775,14.4593412,174.3831861
25718352900.0,125574704400.0,18949010200.0,125736688600.0,21170952500.0,126033255700.0,18848473800.0,125642948200.0,15288174500.0,125568603700.0,20663137400.0,125429699200.0,16992291600.0,126104442300.0,19542261200.0,125735370300.0,76640580100.0,185368031700.0,76542754100.0,184807171900.0,72.85311645,55.77600323088266,15.2881745,126.0332557,95.78257398,64.15820831737274,16.9922916,185.3680317
27528143200.0,125469817800.0,18428605700.0,127794012000.0,17253237700.0,127780957700.0,15030424700.0,127719852800.0,20050186400.0,128115301600.0,15217598900.0,127682379900.0,20057476800.0,127940361000.0,19483529200.0,128228459100.0,80230411400.0,189877099400.0,80108821800.0,189706397200.0,73.51705396,56.865618332309694,15.0304247,128.1153016,97.85325347,66.0564821842036,15.2175989,189.8770994
28244548400.0,127386344900.0,15074349700.0,127707836100.0,16343187900.0,127671706900.0,16344181500.0,127368597000.0,17736255300.0,127567131300.0,15016974300.0,127882306300.0,15621619700.0,127531174900.0,16409551100.0,127959607100.0,82691427300.0,193268439300.0,83062894900.0,192642145700.0,73.1444139,57.4509587949242,15.0743497,127.7078361,98.20861406,67.89063722326333,15.0169743,193.2684393
28850071400.0,123099303300.0,16910992400.0,123415603000.0,20978716400.0,123100955200.0,19890882300.0,122985888500.0,16454211200.0,123461967100.0,21005111800.0,123517262500.0,15477726200.0,122960028500.0,18699715200.0,123293107600.0,85677489700.0,191315577100.0,85479102300.0,191180619400.0,71.91485908,54.17503968489648,16.4542112,123.4619671,97.86057403,65.52302068422105,15.4777262,191.3155771
29020072800.0,123653732800.0,20988594500.0,124259583300.0,18208804500.0,124112505800.0,125700.0,124290861700.0,19724439600.0,123973916300.0,18892718600.0,124287769100.0,20468446200.0,124318461900.0,21370323000.0,124199869700.0,88569339300.0,195557938200.0,88552807800.0,195124983800.0,70.8232637,56.56491550047297,0.0001257,124.2908617,100.13426576,66.07638870440746,18.8927186,195.5579382
26959094200.0,123529928100.0,17535862200.0,123999334600.0,15713943000.0,124276876700.0,18016532700.0,127219896200.0,19668728800.0,124226495500.0,16873460300.0,124893128600.0,18820448300.0,123939114200.0,15970605100.0,124412925300.0,92313393600.0,201976718900.0,92072756900.0,197681443000.0,72.1146692,55.46247060046216,15.713943,127.2198962,100.89539942,68.64129271471322,15.9706051,201.9767189
28468648200.0,126584314000.0,17804345900.0,126807054800.0,19247770300.0,126538760800.0,17376572100.0,126440297500.0,16193536300.0,126670861500.0,19937859700.0,126957205400.0,17576875700.0,126507118800.0,17303911800.0,126414833200.0,95046047400.0,203274250200.0,94895591100.0,203242564500.0,73.21321614,56.380347928400276,16.1935363,126.8070548,103.11562578,69.4800896267665,17.3039118,203.2742502
30552166700.0,134921196400.0,20553090400.0,135152449100.0,21053016700.0,135228078300.0,21346258300.0,135191614700.0,19056409000.0,134913313200.0,19381412300.0,135758426500.0,20159265500.0,135110492300.0,21305627600.0,135196720100.0,98541832700.0,215139204000.0,98612511500.0,214486987500.0,78.79675928,59.407755128387,19.056409,135.2280783,109.369248,73.26318960259354,19.3814123,215.139204
30552924000.0,134705502400.0,18034029500.0,129940601000.0,17755640000.0,129860667800.0,18753303000.0,130185565400.0,20745731500.0,134590727800.0,16813125300.0,130358260800.0,19299660700.0,130655851100.0,18718269000.0,130211425400.0,102433473900.0,213366900000.0,102308754800.0,213233120000.0,76.51246924,58.472532058905536,17.75564,134.7055024,107.7398841,72.95313844112496,16.8131253,213.3669
29671101200.0,127859969700.0,16817652400.0,127783131800.0,19680726200.0,127811733600.0,17061744200.0,128183566200.0,17373892200.0,128268355600.0,18831577500.0,127934132000.0,17005675700.0,127969275300.0,18673541800.0,128603413800.0,104777463000.0,214111792300.0,104516378200.0,213356729700.0,74.05118731,56.96397306852027,16.8176524,128.2683556,107.57799793,72.88600342819313,17.0056757,214.1117923
31552353500.0,127414512200.0,20485242600.0,127473464800.0,21043883200.0,127877724500.0,20210393200.0,127817476300.0,18988728000.0,128514478500.0,20638401600.0,128082148600.0,19604821600.0,127888645500.0,21008011300.0,128069495700.0,108278444900.0,217202954700.0,107919990000.0,216697541800.0,75.13782568,55.63779441219958,18.988728,128.5144785,109.53904557,72.97780205597618,19.6048216,217.2029547
32335044300.0,127369504600.0,19546463000.0,131286968800.0,17380902500.0,130999221600.0,19635275600.0,131451365100.0,21788170200.0,127994894000.0,18436539800.0,131147763800.0,20907709800.0,131168201000.0,18622194200.0,130997690100.0,112156284000.0,223630773200.0,112074608500.0,223698648000.0,75.97878097,56.90581021336911,17.3809025,131.4513651,112.28404124,75.86797797553591,18.4365398,223.698648
